No,lat,lng,名称,写真,説明
1,35.92264,136.1624,武生芝原公園の近くにある川,R7_tanken_01.JPG,小さい魚やえびがいます。夏になるともっと魚がふえ、ザリガニも泳いでいることがあります。浅いから安全で.す。広さもあります
4,35.92598,136.1634,小川,R7_tanken_04.JPG,夏に行くとすずしくて気持ちいいです。魚などの生き物がいます。あみで簡単に取れるので楽しいです。家に帰ってから観察をすることもできます。
11,35.91795,136.1429,蛍が見える用水路,R7_tanken_11-1.JPG,5月から6月にかけて蛍が見られます。雨の降った次の晴れの日に行くのがポイントです。蛍がたくさん飛んでいてきれいです。
12,35.92669,136.1713,三ツ屋の婦人の家の前の川,R7_tanken_12-1.JPG,この場所は家久町の三ツ屋にある婦人の家という建物の前にある川で、生き物がたくさんいます。特にメダカ、ザリガニ、エビなどがいます。
14,35.93010323,136.1683908,トカゲなどの生き物がいっぱいいる所,R7_tanken_14.JPG,トカゲが活動する時期にたくさんトカゲを見つけられます。カマキリの幼虫もいます。バーベキューが出来るスペースもあったので、生き物好きな人や気一分転換に良いと思います。
15,35.92666,136.1598,魚がいる川,R7_tanken_15.JPG,夏になったら、ザリガニ、魚、メダカ、エビなどがたくさんいます。友達と魚やザリガニなどを見て楽しめる場所です。
32,35.92396,136.1574,蛍が見られる川,R7_tanken_32.JPG,6月ぐらいになると、ものすごい数の蛍が見られる川です。たくさんの蛍が一斉に光るのがとてもきれいです。
37,35.91844836,136.1614891,ホタルが見られる川,R7_tanken_37.JPG,この川は、夏になるとホタルがたくさんいます。川の近く、の道路にも、たくさんホタルが飛んでいてきれいです。
44,35.92846,136.1669,ホタルの川,R7_tanken_44.JPG,この場所は、6月からホタルが見られるおすすめポイントです。光がキラキラしてとてもきれいです。
76,35.93091,136.1584,蛍が見える用水路,R7_tanken_76.JPG,この用水路は、春から夏にかけて蛍が見られます。去年は、5~10匹ぐらいいました。追いかけっこをする蛍などもいて、見ていて楽しいです。
80,35.92623,136.1575,魚がいる川,R7_tanken_80.JPG,ここの川は大きい魚はいないけれど小さい魚がいっぱいいます。まだきれいな水なので，、魚が住みやすい環境だそうです。
