No,lat,lng,名称,写真,説明,
12-2,35.92661,136.1714,三ツ屋町の花壇,R7_tanken_12-2.JPG,この場所は家久町の三ツ屋町にある婦人の家という建物の前の電柱にある花壇です。色とりどりの花がたくさん植えてあり、小さい森のようになっています。,
20,35.92445,136.1618,風のガーデンのきれいなお庭,R7_tanken_20.JPG,お庭には、季節の花がたくさんさいていてとてもきれいです。お店に入れば、テラスでも室内でも、食事を楽しむこともできます。,
21,35.92437,136.1639,飯部磐座神社の花,R7_tanken_21.JPG,いつ見てもきれいな花が咲いていて、特に晴れた日は色がもっときれいに見えます。道ばたから見えるので、散歩道におすすめです。他にもたくさん花が咲いているので、ぜひ見てください。,いつ見てもきれいな花が咲いていて、特に晴れた日は色がもっときれいに見えます。道ばたから見えるので、散歩道におすすめです。他にもたくさん花が咲いているので、ぜひ見てください。
51,35.92812,136.1409,ふるさとミニ花壇,R7_tanken_51.JPG,いろいろな色の花がさいています。公民館に行くときは、いつも花を見て、きれいだなと思っています。,
62,35.92012272,136.1633827,芝原二丁目花壇,R7_tanken_62.JPG,この花だんは、芝原二丁目にあるゆいいつの花だんです。いつも赤、紫、白、黄などのきれいな花が咲いています。,
63,35.92449,136.1673,市営住宅のつつじ,R7_tanken_63.JPG,春の半ばになると、たくさんつつじがさき始めます。きれいなピンク色で、うすいピンクもあります。近くに公園もあるので、ぜひ遊びに来てください。,
68,35.93135,136.1583,シバザクラ,R7_tanken_68.JPG,4月から5月にかけて、川ぞいにピンク色のシバザクラがさきます。周りが田んぼだらけの緑の多い場所なので、ピンク色のシバザクラがとても目立ちます。,
69,35.92358,136.1638,芝原五丁目の花壇,R7_tanken_69.JPG,季節ごとに町内の人たちがきれいな花を植えてくれています。いろいろな種類の花を見ることができます。,
70,35.92629,136.1579,吉野神社の横にある花だん,R7_tanken_70.JPG,いろいろな花があって、見ていると笑顔になります。近くに吉野神社があり、遊ぶことができます,
71,35.92708,136.1712,ミツ屋の婦人の家の花壇,R7_tanken_71-1.JPG,婦人の家の花だんには、その季節にしかさかない花や、1年中さいている花が植えられてあります。赤や白、紫など、色とりどりの花がさいていて、とてもきれいです。,
88,35.92461,136.1578,ゴミ捨て場裏の花,R7_tanken_88.JPG,ゴミ捨て場の裏側に、きれいな花がさいています。「芝桜」が咲いていたり、「雛菊」が咲いていたりと、季節によってちがう花がさくのでとてもきれいです。,
91,35.92571219,136.1703075,家久駅の花壇,R7_tanken_91.JPG,家久駅のすぐ隣にある花だんです。2つの種類のお花がたくさん咲いていておすすめです。家久駅に行った時は、ぜひ花だんを見てみてください。,
