No,lat,lng,名称,写真,説明
9-2,35.93259,136.1413,三山神社,R7_tanken_09-2.JPG,秋祭やおみこしなどのいろいろな行事があります。夏でも風がとても涼しいので、夏でも楽しめます。
11-2,35.91962,136.1427,住吉霊水と地蔵尊,R7_tanken_11-2.JPG,愛宕山に来た者達の喉を癒してきたこの井戸の歴史や文化に触れることができます。
23,35.9281426,136.158086,示現観音堂,R7_tanken_23.JPG,ご本尊は、十一面観世音菩薩さまです。元は陣屋内にあった物です。明治になって陣屋が廃止されてこの場所に移動しました。
55,35.9240631,136.156711,本保陣屋跡,R7_tanken_55.JPG,越前国に約150年間、本保陣屋がこの場所に置かれました。今は整備されて広場となっています。江戸時代から現在まで大切にされている場所です。
58,35.9296499,136.167673,船岡神社,R7_tanken_58.JPG,船岡神社にはこまいぬがあります。お祭りも行われます。お祭りでは、抽選会をするのでとてもにぎわいます。
78,35.92127,136.1701,光澤寺,R7_tanken_78.JPG,この光澤寺は如上人という人が1400年後半に立ち寄った休けい所の一つです。今も受けつがれ、4月後半にある蓮如上人御影道中で、この光澤寺に立ち寄ります。昔からある神社で、その歴史は古く1324年にもさかのぼります。古い歴史があるのでおすすめです。
79,35.92425,136.1635,飯部磐座神社,R7_tanken_79.JPG,せみなどの虫がたくさん取れます。夏にお祭りもやっています。トンネルのようなすき間がある大きな岩がたくさんあります
82,35.92639,136.1574,吉野神社,R7_tanken_82.JPG,お祭りなど、いろいろなイベントがあります。神社の周りは広いので、遊ぶこともできます。
84,35.92582,136.1696,大井天神社,R7_tanken_84.jpg,通ると大井天神社のパネルがあります。来てみると、のどかで落ち着く場所です。遊具 (滑り台)もあるからオススメです。
74-2,35.921893,136.146491,正法寺,R7_tanken_74-2.JPG,正法寺は、鎌倉時代からあるお寺で真宗大谷派寺院です。大晦日には、除夜の鐘を鳴らしています。古くから残るお寺なのおすすめです。
74-3,35.9225447,136.147534,光照寺,R7_tanken_74-3.JPG,浄土真宗本願寺派のお寺です。光照寺はとてもきれいなお寺で、毎年大晦日には除夜の鐘が鳴ります。夏休みには、みんなで集まってラジオ体操をしています。とてもきれいなお寺なのでおすすめです。
77-2,35.9209543,136.143239,鵜甘神社,R7_tanken_77-2.JPG,夏には夏祭りがあったり、いろいろな祭りが行われている神社です。長い階段を登ったところで神社にお参りするところがあります。神社が広いので、遊ぶこともできておすすめです
77-3,35.9230857,136.154777,元三大師堂,R7_tanken_77-3.JPG,山の下の方にある神社です。竹や木など緑に囲まれた神社で、周りを見ると自然の緑があって、とてもキレイだからおすすめです
87-2,35.9283102,136.14064,八幡神社,R7_tanken_87-2.JPG,氷坂町の中で一番大きな神社です。神社にはブランコがあって遊べます。毎年九月下旬に秋祭りがあります。
